event_edition_id,event_name,event_category,registration_type,start_date,end_date,venue,city,event_tags,season,event_category_num,registration_type_num,cluster
12429,Charlie and the Great Glass Elevator,Entertainment,Paid,2016-04-16 18:30:00,2016-04-17 20:30:00,Chinmaya Heritage Mission,Chennai,Theatre,1,1,1,6
12437,ACE Events Presents Rock N Roll Chennai,Entertainment,Paid,2016-03-26 18:30:00,2016-03-26 21:30:00,The Music Academy,Chennai,Music and Dance,1,1,1,6
12438,Jadugar Mangal Magic Show(5 - 6May),Entertainment,Paid,2016-05-05 19:00:00,2016-05-06 00:00:00,Raja Annamalai Mandram A/c,Chennai,Variety,1,1,1,6
12455,Counter Terrorism Preventive Security-Corporates,Conferences,Paid,2016-04-27 10:00:00,2016-04-27 18:00:00,Savera Hotel,Chennai,Learning & Workshops,1,0,1,6
12461,Millionaire Mind Intensive - Chn ,Conferences,Paid,2016-03-25 09:00:00,2016-03-27 00:00:00,Chennai Trade Centre,Chennai,Learning & Workshops,1,0,1,6
12466,Quad FLC Lunch,Sports,Paid,2016-03-19 12:00:00,2016-03-19 15:00:00,Barbeque Nation,Chennai,Sports Other,1,4,1,0
12467,PINK RIDE ,Sports,Paid,2016-03-27 06:30:00,2016-03-27 09:30:00,Wild Tribe Ranch,Chennai,Sports,1,4,1,0
12468,RCC Platinum in association with Specsmakers presents Toca Boca Kids Carnival,Entertainment,Paid,2016-03-26 10:30:00,2016-03-26 19:30:00,Don Bosco High School,Chennai,Variety,1,1,1,6
12470,07/07/07 - The True Story of Reyhanneh Jabbari,Entertainment,Paid,2016-04-15 19:00:00,2016-04-16 20:30:00,Edouard Michelin Auditorium,Chennai,Theatre,1,1,1,6
12498,Concert : La Fanfare Couche Tard,Entertainment,Free,2016-04-26 19:00:00,2016-04-26 00:00:00,Museum Theatre,Chennai,Music and Dance,1,1,0,6
12503,Tour De Crescent,Sports,Paid,2016-04-24 05:00:00,2016-04-24 00:00:00,"Madhya Kailash , KASTURIBA NAGAR MRTS STATION",Chennai,Sports,1,4,1,0
12504,Signature Breaks Annapurna Base Camp,Entertainment,Paid,2016-04-29 06:00:00,2016-05-08 18:00:00,Annapurna Base Camp,Nepal,Variety,1,1,1,6
12524,"Drawing, Fancy Dress, Dance, Story Telling Competitions & more...",Entertainment,Paid,2016-05-28 11:30:00,2016-05-29 19:30:00,Ampa Skywalk Mall,Chennai,Contests,1,1,1,6
12530,Chennai Kidathon - 400m,Sports,Paid,2016-08-07 16:45:00,2017-08-07 20:00:00,Nehru Stadium,Chennai,Sports,2,4,1,5
12601,Kanchipuram Half Marathon 2016,Sports,Paid,2016-07-17 05:00:00,2016-07-17 00:00:00,Tamil Nadu Physical Education and Sports University,Chennai,Sports,2,4,1,5
12609,Yercaud Camping Trip for Children,Entertainment,Paid,2016-05-09 06:00:00,2016-05-11 00:00:00,Yercaud ,Salem,Variety,1,1,1,6
12631,ECL MARATHON 2016,Sports,Paid,2016-06-12 05:30:00,2016-06-12 00:00:00,VOC Ground,Coimbatore,Sports,2,4,1,5
12639,Zumba Master Class with Neeki,Conferences,Free,2016-05-22 16:30:00,2016-05-22 19:30:00,BLUE LAGOON RESORT,Chennai,Learning & Workshops,1,0,0,6
12645,Chennai Kidathon - 800m,Sports,Paid,2016-08-07 17:15:00,2016-08-07 00:00:00,Nehru Stadium,Chennai,Sports,2,4,1,5
12646,Chennai Kidathon - 1600m,Sports,Paid,2016-08-07 16:00:00,2016-08-07 00:00:00,Nehru Stadium,Chennai,Sports,2,4,1,5
12647,Chennai Kidathon - 2000m,Sports,Paid,2016-08-07 15:00:00,2016-08-07 00:00:00,Nehru Stadium,Chennai,Sports,2,4,1,5
12648,Ciné Club - Mia Et Le Migou May15,Entertainment,Free,2016-05-15 19:00:00,2016-05-15 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre,1,1,0,6
12655,Royal Wedding Expo 2016,Conferences,Paid,2016-06-04 10:00:00,2016-06-05 20:00:00,ITC Grand Chola,Chennai,Conferences & Exhibitions,2,0,1,4
12658,Ramanujar Dharisanam,Entertainment,Paid,2016-05-10 18:00:00,2016-05-13 00:00:00,Narada Gana Sabha,Chennai,Music and Dance,1,1,1,6
12659,La Forêt Ébouriffée,Entertainment,Free,2016-05-31 19:00:00,2016-05-31 00:00:00,SMVRCH,Chennai,Theatre,1,1,0,6
12661,Independence day marathon - 100mts,Sports,Paid,2016-08-07 06:30:00,2016-08-07 00:00:00,Kumararani Meena Muthiah College Ground,Chennai,Sports,2,4,1,5
12667,Independence day Marathon-5km,Sports,Paid,2016-08-07 06:30:00,2016-08-07 00:00:00,Kumararani Meena Muthiah College Ground,Chennai,Sports,2,4,1,5
