event_edition_id,event_name,event_category,registration_type,start_date,end_date,venue,city,event_tags
11430,Beyond Books - 1:00 P.M. to 4:00 P.M.,Conferences,Paid,2015-10-19 13:00:00,2015-10-25 16:00:00,"No.48, 4th Floor, Mohan mansion",Bengaluru,Learning & Workshops
11440,Google Gadothgajan,Entertainment,Paid,2015-09-17 16:00:00,2015-09-17 21:00:00,Vani Mahal,Chennai,Comedy
11447,Navarathri Naada Vaibhavam,Entertainment,Paid,2015-10-16 18:00:00,2015-10-18 00:00:00,Music Academy,Chennai,Music and Dance
11451,Give Me A Sign,Entertainment,Paid,2015-09-27 08:00:00,2015-09-27 11:00:00,Besant Nagar Beach,Chennai,Variety
11453,Sivakamiyin Sabatham10 Oct,Entertainment,Paid,2015-10-10 18:30:00,2015-10-10 00:00:00,Vani Mahal (Mahaswamigal Hall),Chennai,Theatre
11456,Plaza Suite,Entertainment,Paid,2015-10-16 19:00:00,2015-10-16 21:30:00,Radisson Blu,Chennai,Theatre
11462,Yetho Ninaivugal,Entertainment,Paid,2015-10-04 18:15:00,2015-10-04 21:15:00,Kamaraj Arangam (AC),Chennai,Music and Dance
11463,3- days Radio Jockey Workshop,Conferences,Paid,2015-10-02 10:00:00,2015-10-02 18:00:00,Academy of Broadcasting,Chennai,Learning & Workshops
11464,Adults - D2D Chennai Night Marathon 2015,Sports,Paid,2015-11-28 22:00:00,2015-11-28 00:00:00,Island Ground,Chennai,Sports
11466,Kids - D2D Chennai Night Marathon 2015,Sports,Paid,2015-11-28 22:00:00,2015-11-28 00:00:00,Island Ground,Chennai,Sports
11486,Vaanga Makka Vaanga A Diwali Special Show Haricharan Live In Concert With Bennet and the Band,Entertainment,Paid,2015-11-13 19:00:00,2015-11-13 00:00:00,The Music Academy,Chennai,Music and Dance
11542,Navaratna,Entertainment,Paid,2015-10-25 18:30:00,2015-10-25 21:00:00,Museum Theatre,Chennai,Music and Dance
11547,Unnikrishnan Live - Navotsavam,Entertainment,Paid,2015-10-31 19:00:00,2015-10-31 00:00:00,The Music Academy,Chennai,Music and Dance
11548,Hariharan Live - Navotsavam,Entertainment,Paid,2015-11-01 19:00:00,2015-11-01 00:00:00,The Music Academy,Chennai,Music and Dance
11557,Mutthu Marathon 2016,Sports,Paid,2016-01-03 05:30:00,2016-01-03 13:00:00,"Selliamman Kovil, Vaikuntham",Salem,Sports
